"Animat","Day","Location x:","Location y:","Teacher"
"0","1","11","20","true"
"1","1","9","20","true"
"2","1","11","20","true"
"3","1","9","20","true"
"4","1","10","19","true"
"5","1","11","20","true"
"6","1","9","20","true"
"7","1","9","20","true"
"8","1","9","20","true"
"9","1","11","20","true"
"10","1","10","19","true"
"11","1","10","19","true"
"12","1","10","19","true"
"13","1","9","20","true"
"14","1","11","20","true"
"15","1","9","20","true"
"16","1","11","20","true"
"17","1","9","20","true"
"18","1","9","20","true"
"19","1","10","19","true"
"20","1","10","19","true"
"21","1","11","20","true"
"22","1","9","20","true"
"23","1","11","20","true"
"24","1","10","19","true"
"25","1","9","20","true"
"26","1","10","19","true"
"27","1","10","19","true"
"28","1","9","20","true"
"29","1","9","20","true"
"30","1","10","19","true"
"31","1","10","19","true"
"32","1","10","19","true"
"33","1","9","20","true"
"34","1","11","20","true"
"35","1","9","20","true"
"36","1","9","20","true"
"37","1","10","19","true"
"38","1","9","20","true"
"39","1","11","20","true"
"40","1","10","19","true"
"41","1","10","19","true"
"42","1","9","20","true"
"43","1","10","19","true"
"44","1","10","19","true"
"45","1","11","20","true"
"46","1","11","20","true"
"47","1","11","20","true"
"48","1","9","20","true"
"49","1","11","20","true"
"50","1","11","20","true"
"51","1","10","19","true"
"52","1","10","19","true"
"53","1","10","19","true"
"54","1","9","20","true"
"55","1","9","20","true"
"56","1","11","20","true"
"57","1","10","19","true"
"58","1","10","19","true"
"59","1","9","20","true"
"60","1","10","19","true"
"61","1","11","20","true"
"62","1","10","19","true"
"63","1","9","20","true"
"64","1","11","20","true"
"65","1","9","20","true"
"66","1","11","20","true"
"67","1","11","20","true"
"68","1","9","20","true"
"69","1","11","20","true"
"70","1","10","19","true"
"71","1","9","20","true"
"72","1","10","19","true"
"73","1","11","20","true"
"74","1","9","20","true"
"75","1","9","20","true"
"76","1","11","20","true"
"77","1","9","20","true"
"78","1","11","20","true"
"79","1","11","20","true"
"80","1","9","20","true"
"81","1","9","20","true"
"82","1","10","19","true"
"83","1","11","20","true"
"84","1","9","20","true"
"85","1","9","20","true"
"86","1","11","20","true"
"87","1","11","20","true"
"88","1","9","20","true"
"89","1","9","20","true"
"90","1","9","20","true"
"91","1","11","20","true"
"92","1","10","19","true"
"93","1","11","20","true"
"94","1","10","19","true"
"95","1","10","19","true"
"96","1","10","19","true"
"97","1","9","20","true"
"98","1","11","20","true"
"99","1","11","20","true"
"100","1","11","20","true"
"0","2","10","20","true"
"1","2","10","20","true"
"2","2","11","19","true"
"3","2","9","19","true"
"4","2","11","19","true"
"5","2","10","20","true"
"6","2","9","19","true"
"7","2","10","20","true"
"8","2","9","19","true"
"9","2","12","20","true"
"10","2","9","19","true"
"11","2","10","18","true"
"12","2","9","19","true"
"13","2","8","20","true"
"14","2","10","20","true"
"15","2","9","19","true"
"16","2","11","19","true"
"17","2","10","20","true"
"18","2","9","19","true"
"19","2","10","18","true"
"20","2","11","19","true"
"21","2","12","20","true"
"22","2","9","19","true"
"23","2","12","20","true"
"24","2","9","19","true"
"25","2","8","20","true"
"26","2","9","19","true"
"27","2","9","19","true"
"28","2","10","20","true"
"29","2","8","20","true"
"30","2","9","19","true"
"31","2","11","19","true"
"32","2","10","18","true"
"33","2","8","20","true"
"34","2","12","20","true"
"35","2","10","20","true"
"36","2","9","19","true"
"37","2","11","19","true"
"38","2","9","19","true"
"39","2","11","19","true"
"40","2","10","18","true"
"41","2","11","19","true"
"42","2","8","20","true"
"43","2","11","19","true"
"44","2","10","18","true"
"45","2","11","19","true"
"46","2","11","19","true"
"47","2","12","20","true"
"48","2","8","20","true"
"49","2","12","20","true"
"50","2","11","19","true"
"51","2","11","19","true"
"52","2","10","18","true"
"53","2","11","19","true"
"54","2","8","20","true"
"55","2","8","20","true"
"56","2","10","20","true"
"57","2","9","19","true"
"58","2","11","19","true"
"59","2","10","20","true"
"60","2","10","18","true"
"61","2","10","20","true"
"62","2","11","19","true"
"63","2","9","19","true"
"64","2","10","20","true"
"65","2","8","20","true"
"66","2","12","20","true"
"67","2","12","20","true"
"68","2","9","19","true"
"69","2","12","20","true"
"70","2","10","18","true"
"71","2","9","19","true"
"72","2","9","19","true"
"73","2","11","19","true"
"74","2","10","20","true"
"75","2","8","20","true"
"76","2","11","19","true"
"77","2","9","19","true"
"78","2","12","20","true"
"79","2","12","20","true"
"80","2","8","20","true"
"81","2","10","20","true"
"82","2","9","19","true"
"83","2","10","20","true"
"84","2","8","20","true"
"85","2","9","19","true"
"86","2","10","20","true"
"87","2","10","20","true"
"88","2","10","20","true"
"89","2","10","20","true"
"90","2","10","20","true"
"91","2","12","20","true"
"92","2","11","19","true"
"93","2","10","20","true"
"94","2","9","19","true"
"95","2","9","19","true"
"96","2","10","18","true"
"97","2","10","20","true"
"98","2","10","20","true"
"99","2","12","20","true"
"100","2","12","20","true"
"0","3","10","19","true"
"1","3","11","20","true"
"2","3","11","18","true"
"3","3","10","19","true"
"4","3","11","18","true"
"5","3","10","19","true"
"6","3","9","18","true"
"7","3","11","20","true"
"8","3","9","18","true"
"9","3","12","19","true"
"10","3","10","19","true"
"11","3","10","17","true"
"12","3","10","19","true"
"13","3","9","20","true"
"14","3","9","20","true"
"15","3","9","18","true"
"16","3","10","19","true"
"17","3","10","19","true"
"18","3","8","19","true"
"19","3","10","17","true"
"20","3","11","18","true"
"21","3","12","19","true"
"22","3","9","18","true"
"23","3","13","20","true"
"24","3","8","19","true"
"25","3","9","20","true"
"26","3","8","19","true"
"27","3","8","19","true"
"28","3","9","20","true"
"29","3","7","20","true"
"30","3","9","18","true"
"31","3","11","18","true"
"32","3","10","17","true"
"33","3","8","19","true"
"34","3","11","20","true"
"35","3","11","20","true"
"36","3","9","18","true"
"37","3","10","19","true"
"38","3","10","19","true"
"39","3","12","19","true"
"40","3","9","18","true"
"41","3","12","19","true"
"42","3","7","20","true"
"43","3","11","18","true"
"44","3","11","18","true"
"45","3","12","19","true"
"46","3","10","19","true"
"47","3","12","19","true"
"48","3","9","20","true"
"49","3","11","20","true"
"50","3","12","19","true"
"51","3","12","19","true"
"52","3","9","18","true"
"53","3","12","19","true"
"54","3","9","20","true"
"55","3","9","20","true"
"56","3","10","19","true"
"57","3","10","19","true"
"58","3","10","19","true"
"59","3","9","20","true"
"60","3","11","18","true"
"61","3","10","19","true"
"62","3","12","19","true"
"63","3","8","19","true"
"64","3","11","20","true"
"65","3","7","20","true"
"66","3","12","19","true"
"67","3","13","20","true"
"68","3","10","19","true"
"69","3","13","20","true"
"70","3","9","18","true"
"71","3","10","19","true"
"72","3","8","19","true"
"73","3","10","19","true"
"74","3","9","20","true"
"75","3","9","20","true"
"76","3","12","19","true"
"77","3","10","19","true"
"78","3","11","20","true"
"79","3","13","20","true"
"80","3","8","19","true"
"81","3","11","20","true"
"82","3","9","18","true"
"83","3","11","20","true"
"84","3","8","19","true"
"85","3","10","19","true"
"86","3","9","20","true"
"87","3","11","20","true"
"88","3","9","20","true"
"89","3","10","19","true"
"90","3","11","20","true"
"91","3","13","20","true"
"92","3","12","19","true"
"93","3","11","20","true"
"94","3","10","19","true"
"95","3","8","19","true"
"96","3","10","17","true"
"97","3","9","20","true"
"98","3","9","20","true"
"99","3","11","20","true"
"100","3","13","20","true"
"0","4","10","18","true"
"1","4","11","19","true"
"2","4","10","18","true"
"3","4","11","19","true"
"4","4","11","17","true"
"5","4","10","18","true"
"6","4","10","18","true"
"7","4","12","20","true"
"8","4","9","17","true"
"9","4","12","18","true"
"10","4","10","18","true"
"11","4","11","17","true"
"12","4","11","19","true"
"13","4","10","20","true"
"14","4","10","20","true"
"15","4","9","17","true"
"16","4","10","18","true"
"17","4","11","19","true"
"18","4","9","19","true"
"19","4","10","16","true"
"20","4","10","18","true"
"21","4","11","19","true"
"22","4","8","18","true"
"23","4","14","20","true"
"24","4","7","19","true"
"25","4","10","20","true"
"26","4","8","18","true"
"27","4","8","18","true"
"28","4","8","20","true"
"29","4","8","20","true"
"30","4","10","18","true"
"31","4","12","18","true"
"32","4","9","17","true"
"33","4","9","19","true"
"34","4","11","19","true"
"35","4","11","19","true"
"36","4","10","18","true"
"37","4","9","19","true"
"38","4","10","18","true"
"39","4","13","19","true"
"40","4","9","17","true"
"41","4","13","19","true"
"42","4","7","19","true"
"43","4","11","17","true"
"44","4","11","17","true"
"45","4","11","19","true"
"46","4","11","19","true"
"47","4","11","19","true"
"48","4","8","20","true"
"49","4","11","19","true"
"50","4","11","19","true"
"51","4","13","19","true"
"52","4","9","17","true"
"53","4","12","18","true"
"54","4","10","20","true"
"55","4","8","20","true"
"56","4","9","19","true"
"57","4","9","19","true"
"58","4","10","18","true"
"59","4","9","19","true"
"60","4","10","18","true"
"61","4","10","18","true"
"62","4","12","18","true"
"63","4","9","19","true"
"64","4","12","20","true"
"65","4","6","20","true"
"66","4","12","18","true"
"67","4","13","19","true"
"68","4","9","19","true"
"69","4","13","19","true"
"70","4","10","18","true"
"71","4","10","18","true"
"72","4","7","19","true"
"73","4","11","19","true"
"74","4","9","19","true"
"75","4","10","20","true"
"76","4","11","19","true"
"77","4","9","19","true"
"78","4","11","19","true"
"79","4","12","20","true"
"80","4","7","19","true"
"81","4","10","20","true"
"82","4","8","18","true"
"83","4","11","19","true"
"84","4","8","18","true"
"85","4","11","19","true"
"86","4","8","20","true"
"87","4","12","20","true"
"88","4","9","19","true"
"89","4","11","19","true"
"90","4","10","20","true"
"91","4","14","20","true"
"92","4","13","19","true"
"93","4","11","19","true"
"94","4","9","19","true"
"95","4","7","19","true"
"96","4","9","17","true"
"97","4","9","19","true"
"98","4","8","20","true"
"99","4","11","19","true"
"100","4","12","20","true"
"0","5","11","18","true"
"1","5","12","19","true"
"2","5","11","18","true"
"3","5","12","19","true"
"4","5","11","16","true"
"5","5","10","17","true"
"6","5","11","18","true"
"7","5","11","20","true"
"8","5","9","16","true"
"9","5","12","17","true"
"10","5","9","18","true"
"11","5","11","16","true"
"12","5","10","19","true"
"13","5","9","20","true"
"14","5","10","19","true"
"15","5","10","17","true"
"16","5","10","17","true"
"17","5","11","18","true"
"18","5","10","19","true"
"19","5","11","16","true"
"20","5","9","18","true"
"21","5","10","19","true"
"22","5","7","18","true"
"23","5","15","20","true"
"24","5","6","19","true"
"25","5","9","20","true"
"26","5","8","17","true"
"27","5","8","17","true"
"28","5","9","20","true"
"29","5","8","19","true"
"30","5","11","18","true"
"31","5","13","18","true"
"32","5","10","17","true"
"33","5","8","19","true"
"34","5","10","19","true"
"35","5","12","19","true"
"36","5","10","17","true"
"37","5","9","18","true"
"38","5","9","18","true"
"39","5","13","18","true"
"40","5","10","17","true"
"41","5","14","19","true"
"42","5","6","19","true"
"43","5","12","17","true"
"44","5","11","16","true"
"45","5","10","19","true"
"46","5","10","19","true"
"47","5","12","19","true"
"48","5","8","19","true"
"49","5","12","19","true"
"50","5","10","19","true"
"51","5","12","19","true"
"52","5","10","17","true"
"53","5","12","17","true"
"54","5","10","19","true"
"55","5","8","19","true"
"56","5","10","19","true"
"57","5","10","19","true"
"58","5","11","18","true"
"59","5","8","19","true"
"60","5","9","18","true"
"61","5","11","18","true"
"62","5","12","17","true"
"63","5","10","19","true"
"64","5","13","20","true"
"65","5","5","20","true"
"66","5","13","18","true"
"67","5","13","18","true"
"68","5","9","18","true"
"69","5","14","19","true"
"70","5","9","18","true"
"71","5","10","17","true"
"72","5","8","19","true"
"73","5","12","19","true"
"74","5","8","19","true"
"75","5","10","19","true"
"76","5","11","18","true"
"77","5","10","19","true"
"78","5","10","19","true"
"79","5","11","20","true"
"80","5","6","19","true"
"81","5","10","19","true"
"82","5","8","17","true"
"83","5","10","19","true"
"84","5","9","18","true"
"85","5","12","19","true"
"86","5","9","20","true"
"87","5","11","20","true"
"88","5","9","18","true"
"89","5","11","18","true"
"90","5","9","20","true"
"91","5","13","20","true"
"92","5","13","18","true"
"93","5","10","19","true"
"94","5","10","19","true"
"95","5","7","18","true"
"96","5","9","16","true"
"97","5","10","19","true"
"98","5","8","19","true"
"99","5","12","19","true"
"100","5","11","20","true"
"0","6","11","17","true"
"1","6","12","18","true"
"2","6","10","18","true"
"3","6","13","19","true"
"4","6","12","16","true"
"5","6","9","17","true"
"6","6","10","18","true"
"7","6","11","19","true"
"8","6","8","16","true"
"9","6","13","17","true"
"10","6","9","17","true"
"11","6","10","16","true"
"12","6","9","19","true"
"13","6","10","20","true"
"14","6","9","19","true"
"15","6","11","17","true"
"16","6","10","16","true"
"17","6","10","18","true"
"18","6","10","18","true"
"19","6","11","15","true"
"20","6","9","17","true"
"21","6","11","19","true"
"22","6","6","18","true"
"23","6","15","19","true"
"24","6","5","19","true"
"25","6","9","19","true"
"26","6","9","17","true"
"27","6","8","16","true"
"28","6","9","19","true"
"29","6","9","19","true"
"30","6","10","18","true"
"31","6","14","18","true"
"32","6","11","17","true"
"33","6","7","19","true"
"34","6","10","18","true"
"35","6","12","18","true"
"36","6","10","16","true"
"37","6","10","18","true"
"38","6","10","18","true"
"39","6","13","17","true"
"40","6","11","17","true"
"41","6","13","19","true"
"42","6","7","19","true"
"43","6","13","17","true"
"44","6","11","15","true"
"45","6","11","19","true"
"46","6","10","18","true"
"47","6","13","19","true"
"48","6","9","19","true"
"49","6","12","18","true"
"50","6","9","19","true"
"51","6","11","19","true"
"52","6","10","16","true"
"53","6","12","16","true"
"54","6","9","19","true"
"55","6","7","19","true"
"56","6","11","19","true"
"57","6","11","19","true"
"58","6","11","17","true"
"59","6","7","19","true"
"60","6","9","17","true"
"61","6","12","18","true"
"62","6","12","16","true"
"63","6","10","18","true"
"64","6","12","20","true"
"65","6","6","20","true"
"66","6","13","17","true"
"67","6","12","18","true"
"68","6","9","17","true"
"69","6","13","19","true"
"70","6","10","18","true"
"71","6","9","17","true"
"72","6","9","19","true"
"73","6","11","19","true"
"74","6","8","18","true"
"75","6","10","18","true"
"76","6","10","18","true"
"77","6","10","18","true"
"78","6","11","19","true"
"79","6","12","20","true"
"80","6","7","19","true"
"81","6","11","19","true"
"82","6","9","17","true"
"83","6","9","19","true"
"84","6","8","18","true"
"85","6","13","19","true"
"86","6","8","20","true"
"87","6","11","19","true"
"88","6","10","18","true"
"89","6","12","18","true"
"90","6","10","20","true"
"91","6","13","19","true"
"92","6","12","18","true"
"93","6","11","19","true"
"94","6","9","19","true"
"95","6","8","18","true"
"96","6","9","15","true"
"97","6","9","19","true"
"98","6","9","19","true"
"99","6","12","18","true"
"100","6","11","19","true"
"0","7","12","17","true"
"1","7","11","18","true"
"2","7","11","18","true"
"3","7","13","18","true"
"4","7","12","15","true"
"5","7","10","17","true"
"6","7","10","17","true"
"7","7","10","19","true"
"8","7","9","16","true"
"9","7","12","17","true"
"10","7","9","16","true"
"11","7","11","16","true"
"12","7","9","18","true"
"13","7","11","20","true"
"14","7","10","19","true"
"15","7","11","16","true"
"16","7","11","16","true"
"17","7","11","18","true"
"18","7","11","18","true"
"19","7","12","15","true"
"20","7","8","17","true"
"21","7","10","19","true"
"22","7","5","18","true"
"23","7","15","18","true"
"24","7","4","19","true"
"25","7","9","18","true"
"26","7","10","17","true"
"27","7","8","15","true"
"28","7","10","19","true"
"29","7","9","18","true"
"30","7","9","18","true"
"31","7","15","18","true"
"32","7","10","17","true"
"33","7","7","18","true"
"34","7","10","17","true"
