"Animat","Day","Location x:","Location y:","Teacher"
"0","1","11","20","true"
"1","1","9","20","true"
"2","1","10","19","true"
"3","1","9","20","true"
"4","1","9","20","true"
"5","1","10","19","true"
"6","1","11","20","true"
"7","1","9","20","true"
"8","1","9","20","true"
"9","1","11","20","true"
"10","1","10","19","true"
"11","1","10","19","true"
"12","1","11","20","true"
"13","1","10","19","true"
"14","1","10","19","true"
"15","1","10","19","true"
"16","1","10","19","true"
"17","1","9","20","true"
"18","1","9","20","true"
"19","1","11","20","true"
"20","1","11","20","true"
"21","1","11","20","true"
"22","1","10","19","true"
"23","1","11","20","true"
"24","1","9","20","true"
"25","1","11","20","true"
"26","1","10","19","true"
"27","1","10","19","true"
"28","1","10","19","true"
"29","1","11","20","true"
"30","1","10","19","true"
"31","1","9","20","true"
"32","1","9","20","true"
"33","1","11","20","true"
"34","1","9","20","true"
"35","1","11","20","true"
"36","1","9","20","true"
"37","1","9","20","true"
"38","1","9","20","true"
"39","1","11","20","true"
"40","1","9","20","true"
"41","1","11","20","true"
"42","1","11","20","true"
"43","1","11","20","true"
"44","1","9","20","true"
"45","1","11","20","true"
"46","1","10","19","true"
"47","1","9","20","true"
"48","1","9","20","true"
"49","1","10","19","true"
"50","1","10","19","true"
"51","1","9","20","true"
"52","1","10","19","true"
"53","1","11","20","true"
"54","1","10","19","true"
"55","1","9","20","true"
"56","1","11","20","true"
"57","1","9","20","true"
"58","1","10","19","true"
"59","1","10","19","true"
"60","1","10","19","true"
"61","1","11","20","true"
"62","1","11","20","true"
"63","1","10","19","true"
"64","1","11","20","true"
"65","1","10","19","true"
"66","1","10","19","true"
"67","1","11","20","true"
"68","1","11","20","true"
"69","1","11","20","true"
"70","1","10","19","true"
"71","1","11","20","true"
"72","1","11","20","true"
"73","1","10","19","true"
"74","1","9","20","true"
"75","1","10","19","true"
"76","1","9","20","true"
"77","1","9","20","true"
"78","1","11","20","true"
"79","1","11","20","true"
"80","1","10","19","true"
"81","1","11","20","true"
"82","1","11","20","true"
"83","1","11","20","true"
"84","1","11","20","true"
"85","1","11","20","true"
"86","1","10","19","true"
"87","1","11","20","true"
"88","1","11","20","true"
"89","1","11","20","true"
"90","1","11","20","true"
"91","1","9","20","true"
"92","1","11","20","true"
"93","1","11","20","true"
"94","1","9","20","true"
"95","1","9","20","true"
"96","1","10","19","true"
"97","1","10","19","true"
"98","1","9","20","true"
"99","1","11","20","true"
"100","1","9","20","true"
"0","2","10","20","true"
"1","2","9","19","true"
"2","2","9","19","true"
"3","2","10","20","true"
"4","2","8","20","true"
"5","2","11","19","true"
"6","2","11","19","true"
"7","2","10","20","true"
"8","2","10","20","true"
"9","2","11","19","true"
"10","2","11","19","true"
"11","2","9","19","true"
"12","2","12","20","true"
"13","2","9","19","true"
"14","2","9","19","true"
"15","2","11","19","true"
"16","2","9","19","true"
"17","2","8","20","true"
"18","2","10","20","true"
"19","2","11","19","true"
"20","2","12","20","true"
"21","2","10","20","true"
"22","2","11","19","true"
"23","2","12","20","true"
"24","2","8","20","true"
"25","2","10","20","true"
"26","2","11","19","true"
"27","2","9","19","true"
"28","2","9","19","true"
"29","2","10","20","true"
"30","2","10","18","true"
"31","2","9","19","true"
"32","2","9","19","true"
"33","2","12","20","true"
"34","2","8","20","true"
"35","2","12","20","true"
"36","2","9","19","true"
"37","2","8","20","true"
"38","2","8","20","true"
"39","2","10","20","true"
"40","2","8","20","true"
"41","2","11","19","true"
"42","2","11","19","true"
"43","2","11","19","true"
"44","2","8","20","true"
"45","2","12","20","true"
"46","2","9","19","true"
"47","2","8","20","true"
"48","2","9","19","true"
"49","2","11","19","true"
"50","2","10","18","true"
"51","2","9","19","true"
"52","2","9","19","true"
"53","2","10","20","true"
"54","2","10","18","true"
"55","2","10","20","true"
"56","2","10","20","true"
"57","2","9","19","true"
"58","2","10","18","true"
"59","2","11","19","true"
"60","2","10","18","true"
"61","2","12","20","true"
"62","2","10","20","true"
"63","2","10","18","true"
"64","2","12","20","true"
"65","2","11","19","true"
"66","2","10","18","true"
"67","2","11","19","true"
"68","2","12","20","true"
"69","2","12","20","true"
"70","2","10","18","true"
"71","2","11","19","true"
"72","2","11","19","true"
"73","2","9","19","true"
"74","2","9","19","true"
"75","2","10","18","true"
"76","2","10","20","true"
"77","2","8","20","true"
"78","2","10","20","true"
"79","2","12","20","true"
"80","2","11","19","true"
"81","2","10","20","true"
"82","2","10","20","true"
"83","2","11","19","true"
"84","2","11","19","true"
"85","2","10","20","true"
"86","2","9","19","true"
"87","2","10","20","true"
"88","2","10","20","true"
"89","2","10","20","true"
"90","2","10","20","true"
"91","2","8","20","true"
"92","2","10","20","true"
"93","2","11","19","true"
"94","2","9","19","true"
"95","2","8","20","true"
"96","2","9","19","true"
"97","2","10","18","true"
"98","2","8","20","true"
"99","2","11","19","true"
"100","2","10","20","true"
"0","3","10","19","true"
"1","3","9","18","true"
"2","3","9","18","true"
"3","3","10","19","true"
"4","3","7","20","true"
"5","3","10","19","true"
"6","3","12","19","true"
"7","3","10","19","true"
"8","3","10","19","true"
"9","3","11","18","true"
"10","3","11","18","true"
"11","3","8","19","true"
"12","3","11","20","true"
"13","3","8","19","true"
"14","3","10","19","true"
"15","3","10","19","true"
"16","3","10","19","true"
"17","3","8","19","true"
"18","3","11","20","true"
"19","3","10","19","true"
"20","3","12","19","true"
"21","3","11","20","true"
"22","3","11","18","true"
"23","3","12","19","true"
"24","3","8","19","true"
"25","3","9","20","true"
"26","3","12","19","true"
"27","3","10","19","true"
"28","3","9","18","true"
"29","3","10","19","true"
"30","3","11","18","true"
"31","3","10","19","true"
"32","3","9","18","true"
"33","3","11","20","true"
"34","3","9","20","true"
"35","3","12","19","true"
"36","3","8","19","true"
"37","3","7","20","true"
"38","3","7","20","true"
"39","3","9","20","true"
"40","3","9","20","true"
"41","3","10","19","true"
"42","3","10","19","true"
"43","3","11","18","true"
"44","3","7","20","true"
"45","3","11","20","true"
"46","3","8","19","true"
"47","3","9","20","true"
"48","3","10","19","true"
"49","3","10","19","true"
"50","3","10","17","true"
"51","3","9","18","true"
"52","3","8","19","true"
"53","3","11","20","true"
"54","3","11","18","true"
"55","3","9","20","true"
"56","3","9","20","true"
"57","3","10","19","true"
"58","3","9","18","true"
"59","3","11","18","true"
"60","3","10","17","true"
"61","3","11","20","true"
"62","3","10","19","true"
"63","3","11","18","true"
"64","3","11","20","true"
"65","3","12","19","true"
"66","3","9","18","true"
"67","3","12","19","true"
"68","3","12","19","true"
"69","3","11","20","true"
"70","3","10","17","true"
"71","3","10","19","true"
"72","3","11","18","true"
"73","3","9","18","true"
"74","3","9","18","true"
"75","3","11","18","true"
"76","3","10","19","true"
"77","3","7","20","true"
"78","3","9","20","true"
"79","3","13","20","true"
"80","3","12","19","true"
"81","3","10","19","true"
"82","3","11","20","true"
"83","3","11","18","true"
"84","3","12","19","true"
"85","3","9","20","true"
"86","3","10","19","true"
"87","3","9","20","true"
"88","3","11","20","true"
"89","3","10","19","true"
"90","3","11","20","true"
"91","3","8","19","true"
"92","3","11","20","true"
"93","3","11","18","true"
"94","3","8","19","true"
"95","3","9","20","true"
"96","3","9","18","true"
"97","3","10","17","true"
"98","3","7","20","true"
"99","3","11","18","true"
"100","3","10","19","true"
"0","4","10","18","true"
"1","4","8","18","true"
"2","4","10","18","true"
"3","4","9","19","true"
"4","4","8","20","true"
"5","4","10","18","true"
"6","4","11","19","true"
"7","4","9","19","true"
"8","4","10","18","true"
"9","4","11","17","true"
"10","4","11","17","true"
"11","4","7","19","true"
"12","4","12","20","true"
"13","4","8","18","true"
"14","4","10","18","true"
"15","4","11","19","true"
"16","4","9","19","true"
"17","4","7","19","true"
"18","4","11","19","true"
"19","4","10","18","true"
"20","4","13","19","true"
"21","4","11","19","true"
"22","4","10","18","true"
"23","4","11","19","true"
"24","4","7","19","true"
"25","4","10","20","true"
"26","4","12","18","true"
"27","4","9","19","true"
"28","4","10","18","true"
"29","4","11","19","true"
"30","4","10","18","true"
"31","4","11","19","true"
"32","4","9","17","true"
"33","4","12","20","true"
"34","4","10","20","true"
"35","4","13","19","true"
"36","4","7","19","true"
"37","4","7","19","true"
"38","4","6","20","true"
"39","4","9","19","true"
"40","4","10","20","true"
"41","4","10","18","true"
"42","4","10","18","true"
"43","4","11","17","true"
"44","4","6","20","true"
"45","4","10","20","true"
"46","4","8","18","true"
"47","4","8","20","true"
"48","4","9","19","true"
"49","4","9","19","true"
"50","4","10","16","true"
"51","4","8","18","true"
"52","4","9","19","true"
"53","4","11","19","true"
"54","4","10","18","true"
"55","4","10","20","true"
"56","4","10","20","true"
"57","4","10","18","true"
"58","4","9","17","true"
"59","4","11","17","true"
"60","4","10","16","true"
"61","4","10","20","true"
"62","4","11","19","true"
"63","4","12","18","true"
"64","4","10","20","true"
"65","4","13","19","true"
"66","4","10","18","true"
"67","4","12","18","true"
"68","4","13","19","true"
"69","4","11","19","true"
"70","4","10","16","true"
"71","4","9","19","true"
"72","4","10","18","true"
"73","4","9","17","true"
"74","4","9","17","true"
"75","4","10","18","true"
"76","4","9","19","true"
"77","4","7","19","true"
"78","4","9","19","true"
"79","4","13","19","true"
"80","4","13","19","true"
"81","4","11","19","true"
"82","4","12","20","true"
"83","4","11","17","true"
"84","4","13","19","true"
"85","4","8","20","true"
"86","4","9","19","true"
"87","4","10","20","true"
"88","4","12","20","true"
"89","4","10","18","true"
"90","4","10","20","true"
"91","4","9","19","true"
"92","4","10","20","true"
"93","4","12","18","true"
"94","4","9","19","true"
"95","4","10","20","true"
"96","4","10","18","true"
"97","4","9","17","true"
"98","4","7","19","true"
"99","4","11","17","true"
"100","4","9","19","true"
"0","5","11","18","true"
"1","5","9","18","true"
"2","5","11","18","true"
"3","5","10","19","true"
"4","5","8","19","true"
"5","5","10","17","true"
"6","5","10","19","true"
"7","5","10","19","true"
"8","5","10","17","true"
"9","5","12","17","true"
"10","5","12","17","true"
"11","5","7","18","true"
"12","5","11","20","true"
"13","5","7","18","true"
"14","5","11","18","true"
"15","5","10","19","true"
"16","5","9","18","true"
"17","5","8","19","true"
"18","5","10","19","true"
"19","5","10","17","true"
"20","5","12","19","true"
"21","5","11","18","true"
"22","5","9","18","true"
"23","5","12","19","true"
"24","5","6","19","true"
"25","5","10","19","true"
"26","5","11","18","true"
"27","5","9","18","true"
"28","5","9","18","true"
"29","5","10","19","true"
"30","5","11","18","true"
"31","5","11","18","true"
"32","5","9","16","true"
"33","5","13","20","true"
"34","5","9","20","true"
"35","5","14","19","true"
"36","5","6","19","true"
"37","5","6","19","true"
"38","5","6","19","true"
"39","5","9","18","true"
"40","5","9","20","true"
"41","5","9","18","true"
"42","5","9","18","true"
"43","5","10","17","true"
"44","5","6","19","true"
"45","5","11","20","true"
"46","5","7","18","true"
"47","5","7","20","true"
"48","5","10","19","true"
"49","5","9","18","true"
"50","5","9","16","true"
"51","5","7","18","true"
"52","5","9","18","true"
"53","5","11","18","true"
"54","5","10","17","true"
"55","5","11","20","true"
"56","5","10","19","true"
"57","5","11","18","true"
"58","5","9","16","true"
"59","5","10","17","true"
"60","5","10","15","true"
"61","5","10","19","true"
"62","5","12","19","true"
"63","5","12","17","true"
"64","5","9","20","true"
"65","5","12","19","true"
"66","5","11","18","true"
"67","5","13","18","true"
"68","5","14","19","true"
"69","5","10","19","true"
"70","5","11","16","true"
"71","5","10","19","true"
"72","5","9","18","true"
"73","5","10","17","true"
"74","5","9","16","true"
"75","5","10","17","true"
"76","5","9","18","true"
"77","5","6","19","true"
"78","5","8","19","true"
"79","5","14","19","true"
"80","5","13","18","true"
"81","5","12","19","true"
"82","5","13","20","true"
"83","5","10","17","true"
"84","5","12","19","true"
"85","5","7","20","true"
"86","5","8","19","true"
"87","5","10","19","true"
"88","5","11","20","true"
"89","5","9","18","true"
"90","5","11","20","true"
"91","5","10","19","true"
"92","5","11","20","true"
"93","5","12","17","true"
"94","5","8","19","true"
"95","5","10","19","true"
"96","5","10","17","true"
"97","5","9","16","true"
"98","5","6","19","true"
"99","5","11","16","true"
"100","5","9","18","true"
"0","6","10","18","true"
"1","6","8","18","true"
"2","6","10","18","true"
"3","6","10","18","true"
"4","6","7","19","true"
"5","6","11","17","true"
"6","6","10","18","true"
"7","6","10","18","true"
"8","6","10","16","true"
"9","6","11","17","true"
"10","6","11","17","true"
"11","6","8","18","true"
"12","6","10","20","true"
"13","6","8","18","true"
"14","6","10","18","true"
"15","6","10","18","true"
"16","6","8","18","true"
"17","6","7","19","true"
"18","6","9","19","true"
"19","6","11","17","true"
"20","6","11","19","true"
"21","6","10","18","true"
"22","6","10","18","true"
"23","6","13","19","true"
"24","6","6","18","true"
"25","6","11","19","true"
"26","6","12","18","true"
"27","6","8","18","true"
"28","6","9","17","true"
"29","6","11","19","true"
"30","6","11","17","true"
"31","6","11","17","true"
"32","6","10","16","true"
"33","6","12","20","true"
"34","6","9","19","true"
"35","6","14","18","true"
"36","6","6","18","true"
"37","6","6","18","true"
"38","6","7","19","true"
"39","6","8","18","true"
"40","6","10","20","true"
"41","6","8","18","true"
"42","6","10","18","true"
"43","6","9","17","true"
"44","6","7","19","true"
"45","6","10","20","true"
"46","6","8","18","true"
"47","6","8","20","true"
"48","6","10","18","true"
"49","6","8","18","true"
"50","6","9","15","true"
"51","6","6","18","true"
"52","6","10","18","true"
"53","6","11","17","true"
"54","6","9","17","true"
"55","6","12","20","true"
"56","6","10","18","true"
"57","6","11","17","true"
"58","6","8","16","true"
"59","6","10","16","true"
"60","6","10","14","true"
"61","6","11","19","true"
"62","6","12","18","true"
"63","6","11","17","true"
"64","6","10","20","true"
"65","6","13","19","true"
"66","6","11","17","true"
"67","6","12","18","true"
"68","6","15","19","true"
"69","6","11","19","true"
"70","6","11","15","true"
"71","6","10","18","true"
"72","6","10","18","true"
"73","6","9","17","true"
"74","6","8","16","true"
"75","6","11","17","true"
"76","6","8","18","true"
"77","6","6","18","true"
"78","6","7","19","true"
"79","6","15","19","true"
"80","6","13","17","true"
"81","6","13","19","true"
"82","6","14","20","true"
"83","6","10","16","true"
"84","6","11","19","true"
"85","6","7","19","true"
"86","6","7","19","true"
"87","6","9","19","true"
"88","6","10","20","true"
"89","6","9","17","true"
"90","6","11","19","true"
"91","6","11","19","true"
"92","6","11","19","true"
"93","6","12","16","true"
"94","6","8","18","true"
"95","6","11","19","true"
"96","6","11","17","true"
"97","6","8","16","true"
"98","6","7","19","true"
"99","6","11","15","true"
"100","6","10","18","true"
"0","7","11","18","true"
"1","7","7","18","true"
"2","7","11","18","true"
"3","7","11","18","true"
"4","7","7","18","true"
"5","7","12","17","true"
"6","7","11","18","true"
"7","7","10","17","true"
"8","7","10","15","true"
"9","7","10","17","true"
"10","7","12","17","true"
"11","7","9","18","true"
"12","7","10","19","true"
"13","7","7","18","true"
"14","7","11","18","true"
"15","7","10","17","true"
"16","7","8","17","true"
"17","7","8","19","true"
"18","7","10","19","true"
"19","7","11","16","true"
"20","7","12","19","true"
"21","7","11","18","true"
"22","7","11","18","true"
"23","7","14","19","true"
"24","7","7","18","true"
"25","7","12","19","true"
"26","7","12","17","true"
"27","7","8","17","true"
"28","7","10","17","true"
"29","7","10","19","true"
"30","7","10","17","true"
"31","7","10","17","true"
"32","7","11","16","true"
"33","7","13","20","true"
"34","7","9","18","true"
